#1 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 13   8 11  10 15  12 17  14 16 "
 "   0  4   1  7   2 12   3  8   5 14   6 17   9 15  10 13  11 16 "
 "   0  5   1 10   2 15   3  4   6 11   7  8   9 16  12 14  13 17 "
 "   0  6   1 15   2 16   3 10   4 13   5  7   8 12   9 11  14 17 "
 "   0  7   1  9   2  8   3 14   4  6   5 16  10 12  11 17  13 15 "
 "   0  8   1  6   2 17   3  7   4 15   5  9  10 14  11 13  12 16 "
 "   0  9   1  2   3 16   4 10   5  6   7 17   8 15  11 12  13 14 "
 "   0 10   1 12   2 14   3 11   4 16   5 13   6  8   7 15   9 17 "
 "   0 11   1 13   2 10   3 17   4 12   5 15   6 16   7  9   8 14 "
 "   0 12   1  3   2  5   4 17   6  9   7 14   8 13  10 16  11 15 "
 "   0 13   1 16   2  9   3 15   4  8   5 11   6 14   7 12  10 17 "
 "   0 14   1 11   2  6   3 13   4  7   5 17   8 16   9 10  12 15 "
 "   0 15   1 17   2 13   3  5   4 11   6 12   7 16   8 10   9 14 "
 "   0 16   1 14   2  4   3 12   5 10   6 15   7 11   8 17   9 13 "
 "   0 17   1  8   2 11   3  9   4 14   5 12   6 10   7 13  15 16 "
